day,warmup,profiled,engine_s,compaction_s,active_MB,projection_MB,archive_compressed_MB,deliveries,orders,trips,tours,journal
1,True,False,3.7572387770000004,0.0626158519999999,7.73996,2e-06,0.106713,478,4386,646,723,2194
2,True,False,3.9325056789999997,0.05080939200000103,12.256776,2e-06,0.219736,406,7463,1054,1130,3837
3,False,False,5.635418434000001,0.07352663599999869,15.638792,2e-06,0.430023,421,8799,1480,1556,5531
4,False,False,7.374475896,0.0872015449999999,18.36083,2e-06,0.674213,430,9288,1905,1952,7232
5,False,False,11.439439248,0.1080349869999991,21.344285,2e-06,0.930598,480,9756,2367,2413,9057
6,False,False,11.848691709999999,0.12885241700000188,24.096653,2e-06,1.17581,421,10215,2805,2813,10775
7,False,False,13.340886043,0.1366107220000049,26.838672,2e-06,1.426167,446,10612,3229,3224,12490
8,False,False,13.490096317999996,0.1667897260000027,27.625802,0.028528,1.785843,447,11115,3305,3284,12184
9,False,False,12.916457351000005,0.17602035500000057,28.841179,0.079544,2.160346,468,11623,3419,3385,12441
10,False,False,13.302035693999992,0.18450463100000342,29.823174,0.133161,2.560117,466,12123,3460,3449,12563
11,False,False,14.698281579999996,0.19190705599999638,30.742105,0.191632,2.956451,477,12553,3508,3490,12717
12,False,False,21.070809976000003,0.1899266999999818,31.428448,0.25196,3.365923,461,13024,3495,3466,12668
13,False,False,21.558692933999993,0.20534160300000803,32.447196,0.305134,3.763056,458,13566,3529,3525,12785
14,False,False,17.676738151,0.21638425199998892,33.391825,0.360772,4.167885,472,14023,3560,3569,12853
15,False,False,17.338775058,0.20617538000000057,34.154885,0.416053,4.57028,447,14417,3547,3540,12869
16,False,False,20.717070726000006,0.2512953240000061,34.875456,0.476809,4.977017,439,14791,3534,3521,12781
17,False,False,21.869257667,0.23185288399999263,35.737457,0.537972,5.377298,428,15294,3496,3512,12688
18,False,False,20.93315591500004,0.22969704599998658,36.375085,0.597087,5.781333,441,15653,3455,3463,12591
19,False,False,16.992349386000015,0.23848191200004656,37.002436,0.653228,6.183722,450,15953,3438,3420,12519
20,False,False,20.373802670000003,0.24352804599999217,37.828811,0.712953,6.581263,445,16476,3417,3407,12462
21,False,True,26.225837211000034,0.2552996699999785,38.761889,0.769943,6.977521,448,16969,3436,3408,12454
